Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.133,1.079,1.102
768,8192,2,0.002,0.925,0.915,0.921
768,8192,3,0.001,0.932,0.927,0.924
768,8192,5,0.002,0.941,0.929,0.936
768,8192,10,0.002,1.043,1.043,1.023
768,8192,12,0.002,1.099,1.078,1.085
768,8192,20,0.002,1.31,1.194,1.223
768,8192,30,0.002,1.522,1.497,1.33
768,8192,50,0.002,1.922,1.886,1.642
768,8192,80,0.003,2.518,2.605,2.176
768,8192,100,0.003,3.086,3.273,2.557
768,8192,200,0.005,6.531,5.63,4.607
