Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,973.934,972.246,972.934,14.5302,8.17238,8.13591
7680,8192,2,976.301,974.336,977.387,15.7365,9.61405,9.43767
7680,8192,3,975.426,977.48,982.535,15.7591,9.68473,9.64307
7680,8192,5,983.051,990.742,983.367,16.0602,9.93864,9.9184
7680,8192,10,998.234,996.664,1002.61,17.4741,11.0986,11.2146
7680,8192,12,1009.49,1001.97,1003.21,18.0233,11.7677,11.8169
7680,8192,20,1031.51,1025.96,1008.78,19.1961,13.0354,12.8121
7680,8192,30,1109.45,1130.38,1015.37,20.7515,14.7666,13.9998
7680,8192,50,1291.48,1284.85,1030,23.652,18.1745,19.7081
7680,8192,80,1541.66,1556.46,1030.97,28.505,22.3874,20.1079
7680,8192,100,1715.88,1720.18,1045.63,30.6602,25.4819,21.435
7680,8192,200,2517.28,2527.37,1040.25,39.8921,36.7237,31.2039
